i.x
-1000.1,246098
-999.5,037087
-998.1,246098
-997.5,037087
-996.3,141593
-995.3,141593
-994.3,141593
-993.5,037087
-992.3,141593
-991.1,246098
-990.3,141593
-989.1,246098
-988.3,141593
-987.5,037087
-986.1,246098
-985.5,037087
-984.1,246098
-983.1,246098
-982.1,246098
-981.5,037087
-980.3,141593
-979.3,141593
-978.3,141593
-977.1,246098
-976.5,037087
-975.1,246098
-974.3,141593
-973.1,246098
-972.1,246098
-971.1,246098
-970.3,141593
-969.1,246098
-968.3,141593
-967.5,037087
-966.3,141593
-965.3,141593
-964.5,037087
-963.3,141593
-962.1,246098
-961.1,246098
-960.3,141593
-959.5,037087
-958.1,246098
-957.5,037087
-956.3,141593
-955.3,141593
-954.3,141593
-953.1,246098
-952.1,246098
-951.3,141593
-950.3,141593
-949.3,141593
-948.3,141593
-947.3,141593
-946.5,037087
-945.5,037087
-944.5,037087
-943.3,141593
-942.1,246098
-941.3,141593
-940.3,141593
-939.3,141593
-938.3,141593
-937.5,037087
-936.1,246098
-935.1,246098
-934.5,037087
-933.5,037087
-932.3,141593
-931.1,246098
-930.5,037087
-929.3,141593
-928.5,037087
-927.3,141593
-926.3,141593
-925.3,141593
-924.1,246098
-923.1,246098
-922.5,037087
-921.3,141593
-920.3,141593
-919.5,037087
-918.1,246098
-917.5,037087
-916.3,141593
-915.5,037087
-914.3,141593
-913.1,246098
-912.3,141593
-911.5,037087
-910.3,141593
-909.5,037087
-908.3,141593
-907.3,141593
-906.1,246098
-905.3,141593
-904.3,141593
-903.3,141593
-902.1,246098
-901.1,246098
-900.3,141593
-899.3,141593
-898. NaN
-897.1,246098
-896.3,141593
-895.5,037087
-894.3,141593
-893.3,141593
-892.5,037087
-891.5,037087
-890.5,037087
-889.1,246098
-888.3,141593
-887.5,037087
-886.1,246098
-885.5,037087
-884.5,037087
-883. NaN
-882.5,037087
-881.3,141593
-880.5,037087
-879.3,141593
-878.5,037087
-877.5,037087
-876.3,141593
-875.1,246098
-874.1,246098
-873.3,141593
-872.1,246098
-871.5,037087
-870.5,037087
-869.5,037087
-868.5,037087
-867.5,037087
-866.3,141593
-865.3,141593
-864.1,246098
-863.1,246098
-862.5,037087
-861.5,037087
-860.5,037087
-859.5,037087
-858.3,141593
-857.5,037087
-856.3,141593
-855.5,037087
-854.5,037087
-853.1,246098
-852.3,141593
-851.3,141593
-850.1,246098
-849.1,246098
-848.5,037087
-847.1,246098
-846.3,141593
-845.5,037087
-844.1,246098
-843.3,141593
-842.1,246098
-841.1,246098
-840.3,141593
-839.1,246098
-838.1,246098
